trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.24493998091647,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.679145503965,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.87921468545775,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.29638343406576,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-171.41374630345007,"{0: 14, 1: 4, 2: 2, 3: 3, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-60.60727212835431,"{0: 22, 1: 9, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.56492059636182,"{0: 7, 1: 2, 2: 9, 3: 0, 4: 2}",0
