trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-129.7161874925398,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-142.07390897380083,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",20,0,-149.51786144941272,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,9,-64.38235479205841,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",30,0,-109.75248750453682,"{0: 21, 1: 1, 2: 5, 3: 2, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,6,-144.27615009607266,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 2}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-155.77301622702987,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-64.28669640022656,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-108.73684711208607,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",25,0,-227.3538662153636,"{0: 12, 1: 4, 2: 4, 3: 1, 4: 4}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-83.3077959347691,"{0: 14, 1: 6, 2: 3, 3: 2, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-80.7498006544224,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",30,0,-103.40362872184375,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-162.2209195528075,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,14,-9.071406335914936,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",35,0,-130.99591898272868,"{0: 22, 1: 4, 2: 6, 3: 2, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",30,0,-173.80268331254257,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",20,0,-40.464154359490486,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-111.67172781818168,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-49.07235955876396,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-22.461036428976797,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-88.36045184470694,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",35,0,-147.50173428953505,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-177.9806131133609,"{0: 13, 1: 0, 2: 8, 3: 2, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-67.83807841832079,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-105.07576469002495,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-84.6695928851925,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-124.6328742602068,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",25,0,-95.0462483498478,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
